file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,95,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,11
style.css,96,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,31
style.css,97,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,35
style.css,98,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,16
style.css,99,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,100,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,101,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,23
style.css,102,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,16
style.css,103,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,18
style.css,104,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,15
style.css,105,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,106,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,107,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,108,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,3
style.css,109,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,15
